feature,entry_screen,source_of_truth,reads,writes,persistence,completion,command_centre,operations,rewards,notifications,reset_classification,migration,tests,status,severity,notes
Quest Tracker,ScrappyGridScreen quest mode,users/{uid}/arc_scrappy_states,ArcQuestIntelligenceEngine and reset repository,ArcScrappyRepository,Per-objective manual tracked state,Manual and durable objective state where available,Quest intelligence feeds Decision Engine,Operations can receive durable events where wired,Quest rewards not fully centralized,None,Reset,Season reset can archive/delete known quest docs,Season model tests,partially wired,P0,Prerequisite/reward chain still needs a dedicated quest progression model
Season reset coordinator,Command Centre Expedition Reset screen,users/{uid}/arc_season_state/current and arc_season_history,ArcSeasonResetRepository,ArcSeasonResetRepository,Versioned season state/history,Preview checkbox confirmation and apply result,Recalculation hook through startup reconciliation and reset entry,Season IDs added to Operations and current-season Operations reset,Reward archive metadata preserved,None,Controller,Creates missing season docs on login and resumes interrupted reset,Season model tests,partially wired,P1,Public preview and confirmation exists; richer live preview details depend on future quest/level models
Operations and missions,Operations command screens,arc_operation_progress/{uid},ArcOperationsRepository and reset repository,ArcOperationsRepository,Progress docs and summary counters,Progress target/claimed state,Operations snapshot in Command Centre,Durable telemetry writes progress,Claim grants idempotent rewards,None,Current-season,Reconciliation grants missing eligible rewards,Reward eligibility and season model tests,partially wired,P1,Current-season progress docs are archived/deleted on reset; lifetime Operations are preserved
Reward Vault,Reward Vault/Operations reward surfaces,arc_rewards_inventory/{uid}/items and arc_equipped_cosmetics/{uid},ArcOperationsRepository/Reward Vault state,ArcOperationsRepository/equip paths,Reward inventory and equipped IDs,Owned/equipped item state,Reward summaries shown with seasonal sections,Reward claims feed inventory,Inventory/equip state persists,None,Preserved plus current-season metadata,Reconciliation repairs eligible owned rewards,Season metadata and equipability tests,partially wired,P1,Current Previous and Permanent sections are present; full per-season grouping tabs remain future polish
Equipped cosmetics,Profile/Reward Vault/Profile integration,arc_equipped_cosmetics/{uid} and profile mirrors,Operations/Profile cosmetic loaders,Equip actions/profile writes,Equipped badge/title/frame/banner IDs,Equipped state by cosmetic type,Displayed through profile/Command integrations,None,Active equipped state,None,Preserved if equipable,Startup/reset reconciliation clears invalid expired season-only cosmetics,Season equipability tests,partially wired,P1,Expired season-only unequip enforcement is centralized in ArcCosmeticEquipability
Match Rider,Match Rider screens and invites,match rider profiles/invites/sessions,Match Rider repositories,Match Rider repositories,Profile/invite/session docs,Session acceptance/join state,Match objectives and availability signals,Match telemetry exists for accepted/completed sessions,No direct reward repair,None,Manual reconfirm,No reset changes,Match compatibility tests,partially wired,P2,Current session intent should be reconfirmed after reset
Trading listings,Listing screens and queues,arc_trade_listings and queue docs,TradingRepository,TradingRepository,Listing/queue Firestore docs,Created/active/expired listing state,Trade Intelligence/Command Centre reads counts,Listing created telemetry,Trade-related rewards via Operations,Trading notifications,Manual reconfirm,No reset changes,Trade intelligence tests,partially wired,P1,Expired availability should be reconfirmed after reset
Offers,Offer screens,arc_trade_offers,TradingRepository,TradingRepository,Offer participant docs,Offer status,Trade Intelligence reads where safe,Trade completion telemetry downstream,None,Offer notifications,Manual reconfirm,No reset changes,Trade intelligence tests,partially wired,P2,Safe fallbacks remain when offers missing
Trade sessions,Trade/session screens,arc_trade_sessions and sessions/uag_sessions,TradingRepository/session planner repositories,Repositories,Session docs,Completed session state,Trade Intelligence and objectives,Trade completed telemetry,Trade rewards via Operations,Session notifications,Preserved history plus manual reconfirm active sessions,No reset changes,Trade/session tests partial,partially wired,P2,Completed trade history preserved
Blueprint Watches,Watch/target surfaces,users/{uid}/arc_blueprint_targets,Blueprint target repositories,Blueprint target repositories,Target docs,Wanted item state,Trade/Command signals use targets,None,None,Notifications partial,Recalculated,No reset changes,Blueprint tests,partially wired,P2,Future reset should recalc guidance from targets
Listing queues,Listing queue screens,listing queue docs,TradingRepository,TradingRepository,Queue availability docs,Queue active/released state,Inventory alerts read queue pressure,None,None,Notifications partial,Manual reconfirm,No reset changes,Trade objective tests,partially wired,P2,Expired queue availability should be reconfirmed
Favourite Riders,Rider/social surfaces,match rider/favourite rider docs,Match Rider repositories,Match Rider repositories,Favourite rider records,Favourite exists,Social recommendations can read,None,None,Notifications partial,Preserved,No reset changes,Match tests partial,partially wired,P2,Policy preserves favourite riders
Notifications,TradingNotificationsScreen,notification collections/tokens,Notification repositories,Notification repositories,Notifications and device tokens,Unread/actioned state,Alerts surface selected notification pressure,None,None,Push/in-app notifications,Manual reconfirm expired notifications,No reset changes,No dedicated new tests,partially wired,P2,No notification reset changes in this pass
Community Intel,Feedback/intel/blueprint report surfaces,beta_feedback and intel/report collections,Repositories,Repositories,Feedback/intel docs,Submitted/actioned state,Intel objectives and recommendations,Intel telemetry,Eligibility rewards via Operations,Admin feedback replies,Preserved history,No reset changes,Feedback tests,partially wired,P1,Admin diagnostics exposes major Command Centre candidate include/exclude reasons
Raid Planner,RaidPlannerScreen,session planner and availability docs,Session planner repositories,Session planner repositories,Planner/session docs,Active raid plan state,Recommendations may link to planner,None,None,Planner notifications,Manual reconfirm,No reset changes,Raid planner engine tests,partially wired,P2,Active raid plans should be reconfirmed after reset
My Hub,My Hub/Command Centre home route,Command Centre route plus retained hub modules,App routing,Navigation only,No new data,Route reaches Command Centre,Home is Command Centre,None,None,None,Recalculated,No reset change,Route validated previously,wired,P2,Old hub remains accessible as tool deck
Help Centre,Help Centre screens,Static help catalogue,Static data,None,Static docs,No completion,No direct integration,None,None,None,Preserved,None,Help catalogue tests,wired,P3,No closed-beta data risk
Feedback,FeedbackScreen,beta_feedback,Feedback repositories/admin screen,FeedbackScreen/admin actions,Feedback docs,Submitted/actioned status,Feedback submitted operation telemetry,Feedback telemetry,Possible beta rewards by eligibility,Admin reply notifications,Preserved,No reset changes,Feedback tests,wired,P2,Rules already owner/admin scoped
Subscriptions/referrals,Monetisation/referral screens,referral and monetisation collections,Existing repositories/admin tools,Existing repositories/admin tools,Referral wallets/events/subscription docs,Referral completion state,Command summaries limited,Referral telemetry,Referral rewards via Operations,Notifications partial,Preserved,No reset changes,No new tests,partially wired,P3,Not in critical closed-beta P0/P1 scope
Admin tools,AdminConsoleScreen,Admin-only Firestore reads and config docs,Admin console,Feature toggles and feedback actions,Config/feedback docs,Admin/dev guard,Diagnostics summary plus candidate include/exclude list,None,None,None,Preserved,Read-only diagnostics extended,Analyzer/build validation,partially wired,P1,Closed Beta Diagnostics includes season/reset and candidate information; no destructive admin reset control
Firebase production readiness,firestore.rules/firestore.indexes.json/firebase.json,Firestore rules and indexes,App repositories,App repositories,Rules protect persisted docs,Rules allow owner/admin access,Unblocks live data reads/writes,Unblocks operation writes,Unblocks reward/equip writes,Unblocks notifications where existing,Preserved/private,Rules added for missing paths,Validation builds,partially wired,P0,Rules deployment and emulator harness remain blocked/deferred
