"system","classification","current_status","main_files","what_works","incomplete","known_ux_issues","technical_debt","blocks_closed_beta","recommended_next_action","estimated_pass_size","timing"
"Raid Planner","Usable but needs polish","Route exists and is feature-gated with layout migration coverage.","lib/features/trading_hub/arc_raiders/screens/raid_planner_screen.dart; route gates in lib/main.dart","Planner is reachable and shares global layout chrome.","Needs beta feature-scope review against real planner data.","Empty/detail panels must be checked on mobile and web.","Planner intelligence is less central than Command Centre.","No","Manual QA and hide if not useful enough.","small","beta follow-up"
"Hunt Targets","Usable but needs polish","Route exists and is feature-gated with layout migration coverage.","lib/features/trading_hub/arc_raiders/screens/hunt_targets_screen.dart; route gates in lib/main.dart","Destination is reachable through the ARC hub ecosystem.","Needs real target data/value review.","Empty states should not feel like filler.","Lower-priority feature relative to onboarding trading and rules.","No","Keep gated unless beta content is ready.","small","beta follow-up"
"Operations","Usable but needs polish","Operation progress claims eligibility season reset diagnostics and reward inventory writes are implemented.","lib/features/trading_hub/arc_raiders/screens/arc_operations_screen.dart; lib/features/trading_hub/arc_raiders/data/arc_operations_repository.dart; lib/features/trading_hub/arc_raiders/data/arc_operations_seed_data.dart; lib/features/trading_hub/arc_raiders/data/arc_season_reset_coordinator.dart","Idempotent progress reward claims cosmetic inventory updates and beta/founder eligibility work.","Some Quest/Scrappy/Bench operation milestones still need dedicated progression proof.","Reward/XP balance and density need seeded-account review.","Operations depend on upstream systems emitting clean milestone signals.","Partially until beta-critical progress bridges and balance are verified.","Add proof bridges and run reward balance matrix.","large","pre-beta"
"Reward Vault","Usable but needs polish","Badge title profile frame and profile banner inventory preview equip state persistence and profile/trading integration exist.","Reward Vault widgets/screens; lib/features/trading_hub/arc_raiders/data/arc_operations_repository.dart; cosmetic profile display widgets","Cosmetic ownership/equip/persistence and active profile display work.","Some reward assets still use generated or placeholder treatments where final art is missing.","Final mobile/web preview and banner/frame clipping QA required.","Asset catalogue gaps must stay visible.","No if placeholder cosmetics are accepted.","Balance and asset gap pass after progression proof.","medium","beta follow-up"
"Profile & Reputation","Usable but needs polish","Profile completion equipped cosmetics availability/away state trader identity and reputation hints are wired.","Profile setup/edit screens; profile repositories/models; cosmetic display widgets; trading profile surfaces","Equipped badge title frame and banner can display from persisted Reward Vault state.","Guardian Trader Intel and Community reputation need clearer public beta rules and display consistency.","Public/private identity layouts need mobile/web QA.","Social links and reputation concepts are split across onboarding profile trading and operations.","No but promises should be scoped.","Public profile and social-link polish pass.","medium","beta follow-up"
"Guardian / Sherpa","Foundational / incomplete","Guardian language exists in operations rewards and reputation but a complete Guardian/Sherpa workflow is not clearly beta-ready.","Operations seed data; profile/reputation surfaces; Match Rider/community flows","Guardian-related rewards and reputation hooks can be represented.","No complete Guardian/Sherpa matching validation or public identity loop was confirmed.","Could over-promise if surfaced too strongly.","Needs product scope and abuse/safety model.","No if kept scoped or gated.","Define MVP or defer.","medium","beta follow-up"
"Favourite Riders","Usable but needs polish","Favourite rider data/rules and matching hooks exist.","Favourite rider models/repositories/rules; Match Rider/profile screens","User-to-user preference state can be persisted.","Notification and ranking effects need confirmation.","Needs discoverability and privacy language.","Depends on stable public profile identity.","No","Include in Match Rider seeded QA.","small","beta follow-up"
"Watches / Queues / Notifications","Foundational / incomplete","Notification queue indexes Firebase Messaging setup and local trade reminder service exist.","lib/features/trading_hub/arc_raiders/services/trading_push_service.dart; notification repositories/models; firestore.indexes.json; firestore.rules","Local notification channel and scheduled trade reminder support on non-web platforms work.","15-minute reminders post-session feedback prompts web push and external push queue behaviour need work.","Users need clear fallback when notifications are unavailable.","Cross-platform push requires careful permission and background handling.","Yes if beta depends on reminder reliability.","PASS 264D reminder/feedback readiness.","medium","pre-beta"
"Referrals","Foundational / incomplete","Referral rules and at least one tool screen exist but referral business flow is not clearly beta-ready.","Referral screens/repositories; firestore.rules","Referral data paths are represented.","End-to-end invite attribution rewards abuse checks and payout rules need beta policy.","Should not be prominent unless complete.","Referral systems create support and abuse risk.","No if hidden or scoped.","Defer monetised referral depth.","medium","post-beta"
"Player Locker Pro","Foundational / incomplete","Feature-gated route exists and layout migration includes the screen.","lib/features/trading_hub/arc_raiders/screens/play_like_a_pro_screen.dart; feature access route gate in lib/main.dart","Surface is reachable behind a gate.","Minimum beta value and complete pro feature promise are not settled.","Avoid surfacing as dominant beta feature if content is thin.","Premium/pro positioning needs product/legal clarity.","No if gated.","Define MVP or leave disabled.","small","beta follow-up"
"Wall of Legends","Foundational / incomplete","Rules/data support exists but a clear beta route/MVP was not confirmed in route manifest.","Wall of Legends rules/data; possible community/profile screens","Admin-write/read model can support a controlled leaderboard/showcase.","Public surface criteria moderation and reset policy.","Avoid empty/filler presentation.","Needs anti-abuse and eligibility definition.","No","Ship read-only MVP or defer.","small","beta follow-up"
"Social profile links","Foundational / incomplete","Social energy/profile concepts exist but explicit TikTok YouTube Twitch and Kick profile links were not confirmed as fully persisted/displayed.","Profile setup/edit screens; profile models/repositories; public profile widgets","Profile identity and communication preferences exist.","Explicit creator/social link fields and validation/display.","Streamer/community users may expect visible links.","Link validation and moderation policy are needed.","No unless promised.","Add social-link model and profile UI polish.","medium","beta follow-up"
"Calendar / reminders","Usable but needs polish","Session planner includes calendar/share support and local reminders on supported platforms.","lib/features/trading_hub/arc_raiders/screens/session_planner_screen.dart; lib/features/trading_hub/arc_raiders/services/trading_push_service.dart","Calendar integration feasibility is positive through add_2_calendar and share support.","15-minute pre-session and 15-minute post-session prompt behaviour need exact implementation.","One visible mojibake separator should be repaired.","Web reminder behaviour is intentionally limited.","Only if session reminders are a core beta promise.","Reminder/feedback pass.","medium","pre-beta"
"Onboarding","Usable but needs polish","Onboarding persistence active-card focus/surge archetype multi-select profile completion and legal consent have been wired in prior passes.","Onboarding screens/models/controllers; profile completion evaluator/repository; admin replay tools","Core steps persist and drive Command Centre/profile completion.","Live replay/device QA is still required for Player Type Wipe State Blueprint Tracker archetypes communication fields Embark ID and Level 25 gate.","Mobile overflow and hidden Next button were historical concerns; verify no regression.","Onboarding state fans out to profile operations and Command Centre.","Yes until live QA confirms first-run flow.","Authenticated onboarding QA and focused repairs.","medium","pre-beta"
"Consent / Terms","Closed Beta ready","Legal consent is part of onboarding/profile completion and persisted to user state.","Legal/terms screens; onboarding/profile completion repositories; lib/main.dart route map","Consent completion can be recorded and affect onboarding completion.","Final legal copy and versioning policy should be product-reviewed.","Must remain visible on small mobile screens.","Version migrations should be tested when legal text changes.","No if live QA passes.","Include in onboarding QA.","small","pre-beta"
"Admin tools","Usable but needs polish","Admin preview/diagnostic tools exist for onboarding operations rewards and release support.","Admin console and preview screens; admin route guards; Firebase rules","Admin-only routes and diagnostics support beta operations.","Need final access-control verification against live admin claims.","Admin tools should not be discoverable for ordinary beta users.","Admin diagnostics can drift if source models change.","No but access-control failure would.","Admin claims/rules QA.","small","pre-beta"
"Subscriptions / ads","Usable but needs polish","Ads/subscription-related dependencies and surfaces exist with layout QA covering ad/dock collision risk.","Subscription/ad screens/services; global layout/ad container files","Build compatibility is currently clean.","Monetisation beta policy entitlement checks and store readiness need final review.","Ads or bottom docks must not cover page content.","Major-risk package upgrades were intentionally deferred.","No if monetisation is disabled or limited.","Keep simple for Closed Beta and verify no layout collisions.","medium","beta follow-up"
"Settings","Closed Beta ready","Settings route exists and global layout migration covers the destination.","Settings screen; route map; auth/profile preference repositories","User settings are reachable within the app shell.","Final preference inventory should be checked against beta support needs.","No major issue identified in audit.","Settings can accumulate cross-feature toggles and need naming discipline.","No","Manual smoke test.","small","pre-beta"
"Web login / autofill","Usable but needs polish","Web builds pass and auth flow remains protected but autocomplete/autofill checks need browser QA.","Auth/login screens; web/index.html; lib/main.dart","Web build readiness is proven.","Confirm email/password fields expose correct autofill hints and browser behaviour.","web/index.html disables user scaling which is an accessibility concern.","Web and mobile auth UX can diverge.","No unless browser login QA fails.","Browser login/autofill test pass.","small","pre-beta"
"Firebase rules / indexes","Blocked","firestore.rules uses rules version 2 and covers many user/trading/operations paths; firestore.indexes.json has broad query support.","firestore.rules; firestore.indexes.json; Firebase repositories","Rules are present and structured for owner/admin access across major paths.","Emulator rules tests and deploy verification are not present/confirmed.","Rule/index failures surface as broken live screens.","Broad nested user rule and parallel legacy/current trade collections require review.","Yes","PASS 264A Firebase rules/index/security validation.","large","pre-beta"
"Android build/deploy readiness","Usable but needs polish","Debug APK build passes at baseline Java 17 compatibility is configured and core library desugaring is enabled.","android/app/build.gradle.kts; Android manifest and Gradle files","Debug build readiness is proven.","Release signing/configuration and distribution path must be verified.","Device QA still required for orientation/layout.","Debug signing for release is a deployment risk.","Yes for external Android distribution.","Android release signing and deploy checklist.","medium","pre-beta"
"Web build/deploy readiness","Closed Beta ready","Web release build passes at baseline and route/layout migration covers web surfaces.","web/index.html; web/manifest.json; Firebase hosting config; app route map","Release build is proven.","Final hosted smoke test and Firebase hosting cache hygiene.","Desktop widths and mobile browser zoom/accessibility should be manually checked.","Generated hosting cache files should remain out of feature commits.","No if Firebase deploy path is verified.","Hosted smoke test after Firebase rules/index pass.","small","pre-beta"
